a,7.592981331088855
b,1.4445485410059735
c,2.424336551420083
d,4.389590566513528
e,12.413765462096883
f,1.9528960275750122
g,2.0041649757933744
h,5.9742519660055144
i,6.997125932902808
j,0.2631917341763485
k,0.8675641237602351
l,3.995804964236986
m,2.794909177141731
n,6.612525321349426
o,7.75380216865981
p,1.9619140184668413
q,0.11923787956974163
r,5.738281204335983
s,6.130563808130554
t,9.376873529357734
u,3.2980796689395344
v,0.9281850625330869
w,2.356534619900034
x,0.1526378458357757
y,2.40212557385317
z,0.0541079453509752
